inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
5.135,"2.635 / 
2.500",20.353 per km²,10 %,12 %,48 %,23 %,7 %,57 %,19 %,24 %,3.375,65 %,20 %,15 %,"1,5",72 %,18 %,40 %,42 %,€ 17.500,9 %
12.055,"6.225 / 
5.835",25.520 per km²,15 %,14 %,43 %,21 %,7 %,34 %,13 %,53 %,6.855,60 %,18 %,22 %,"1,8",63 %,9 %,42 %,49 %,€ 15.500,"13,9 %"
10.255,"5.175 / 
5.075",14.281 per km²,13 %,13 %,40 %,27 %,7 %,47 %,15 %,38 %,6.120,62 %,18 %,20 %,"1,7",68 %,14 %,42 %,44 %,€ 17.200,"11,9 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
10.020,"4.955 / 
5.065",25.570 per km²,14 %,11 %,47 %,19 %,8 %,44 %,15 %,41 %,6.000,61 %,19 %,20 %,"1,6",69 %,12 %,48 %,40 %,€ 16.900,"11,7 %"
9.185,"4.730 / 
4.450",9.627 per km²,20 %,15 %,34 %,21 %,11 %,27 %,10 %,63 %,4.540,51 %,17 %,32 %,"2,0",60 %,10 %,45 %,45 %,€ 16.200,"13,6 %"
7.825,"3.910 / 
3.910",22.079 per km²,10 %,10 %,45 %,25 %,9 %,60 %,19 %,21 %,5.065,66 %,19 %,15 %,"1,5",73 %,18 %,42 %,40 %,€ 18.300,"8,6 %"
9.690,"4.815 / 
4.875",7.143 per km²,13 %,11 %,40 %,26 %,9 %,51 %,15 %,34 %,5.600,60 %,18 %,22 %,"1,7",67 %,10 %,44 %,46 %,€ 15.900,"14,4 %"
2.010,"1.025 / 
985",720 per km²,4 %,42 %,35 %,15 %,4 %,63 %,18 %,19 %,1.480,80 %,15 %,6 %,"1,3",67 %,28 %,16 %,56 %,€ 24.700,"0,5 %"
17.650,"8.860 / 
8.790",17.336 per km²,17 %,14 %,43 %,19 %,7 %,38 %,11 %,51 %,9.585,55 %,20 %,25 %,"1,8",67 %,11 %,47 %,42 %,€ 16.200,"12,9 %"
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
5.235,"2.600 / 
2.630",8.225 per km²,19 %,10 %,35 %,26 %,10 %,64 %,26 %,10 %,2.675,50 %,22 %,28 %,"2,0",74 %,44 %,28 %,28 %,€ 33.300,"2,5 %"
12.165,"5.575 / 
6.590",3.378 per km²,11 %,10 %,28 %,23 %,27 %,61 %,22 %,17 %,7.270,59 %,24 %,18 %,"1,6",71 %,28 %,40 %,32 %,€ 23.200,"2,8 %"
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
8.165,"3.820 / 
4.345",9.239 per km²,18 %,11 %,29 %,27 %,16 %,65 %,27 %,8 %,4.105,47 %,25 %,28 %,"2,0",71 %,55 %,23 %,22 %,€ 38.800,"0,5 %"
8.165,"3.820 / 
4.345",9.239 per km²,18 %,11 %,29 %,27 %,16 %,65 %,27 %,8 %,4.105,47 %,25 %,28 %,"2,0",71 %,55 %,23 %,22 %,€ 38.800,"0,5 %"
17.750,"9.035 / 
8.715",11.717 per km²,20 %,8 %,39 %,29 %,4 %,62 %,16 %,22 %,8.775,43 %,25 %,33 %,"2,0",80 %,40 %,37 %,23 %,€ 24.800,"4,8 %"
7.825,"3.910 / 
3.910",22.079 per km²,10 %,10 %,45 %,25 %,9 %,60 %,19 %,21 %,5.065,66 %,19 %,15 %,"1,5",73 %,18 %,42 %,40 %,€ 18.300,"8,6 %"
9.690,"4.815 / 
4.875",7.143 per km²,13 %,11 %,40 %,26 %,9 %,51 %,15 %,34 %,5.600,60 %,18 %,22 %,"1,7",67 %,10 %,44 %,46 %,€ 15.900,"14,4 %"
7.105,"3.155 / 
3.950",3.866 per km²,9 %,9 %,24 %,24 %,34 %,62 %,22 %,16 %,4.025,59 %,25 %,16 %,"1,6",66 %,30 %,38 %,32 %,€ 23.600,"3,5 %"
16.495,"7.920 / 
8.575",7.029 per km²,19 %,13 %,28 %,22 %,18 %,39 %,12 %,49 %,7.815,46 %,23 %,31 %,"2,1",65 %,16 %,45 %,39 %,€ 17.700,9 %
7.825,"3.910 / 
3.910",22.079 per km²,10 %,10 %,45 %,25 %,9 %,60 %,19 %,21 %,5.065,66 %,19 %,15 %,"1,5",73 %,18 %,42 %,40 %,€ 18.300,"8,6 %"
4.235,"2.270 / 
1.965",9.978 per km²,10 %,12 %,38 %,28 %,12 %,63 %,28 %,9 %,2.710,64 %,23 %,13 %,"1,6",72 %,41 %,27 %,32 %,€ 31.400,"1,7 %"
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
3.660,"1.755 / 
1.905",4.518 per km²,30 %,10 %,46 %,11 %,3 %,46 %,11 %,43 %,1.565,39 %,16 %,45 %,"2,3",78 %,%,%,%,Prijs op aanvraag,"7,1 %"
11.920,"6.000 / 
5.920",25.329 per km²,13 %,10 %,45 %,25 %,7 %,55 %,18 %,27 %,7.450,64 %,17 %,18 %,"1,6",74 %,17 %,44 %,39 %,€ 18.000,"9,9 %"
,,,,,,,,,,,,,,,,,,,,,
13.185,"6.450 / 
6.735",3.150 per km²,18 %,13 %,26 %,33 %,10 %,62 %,14 %,24 %,5.670,32 %,25 %,42 %,"2,3",75 %,30 %,42 %,28 %,€ 22.000,"2,5 %"
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
,,,,,,,,,,,,,,,,,,,,,
18.420,"8.605 / 
9.815",7.084 per km²,19 %,15 %,26 %,29 %,12 %,33 %,8 %,59 %,8.985,46 %,18 %,37 %,"2,0",66 %,14 %,48 %,38 %,€ 17.000,"13,1 %"
5.135,"2.635 / 
2.500",20.353 per km²,10 %,12 %,48 %,23 %,7 %,57 %,19 %,24 %,3.375,65 %,20 %,15 %,"1,5",72 %,18 %,40 %,42 %,€ 17.500,9 %
13.370,"6.440 / 
6.930",12.505 per km²,21 %,14 %,36 %,17 %,13 %,27 %,10 %,63 %,6.230,45 %,22 %,33 %,"2,1",63 %,9 %,45 %,46 %,€ 15.700,"12,3 %"
1.250,"585 / 
665",1.067 per km²,16 %,10 %,27 %,25 %,22 %,63 %,25 %,12 %,715,59 %,20 %,21 %,"1,8",73 %,59 %,27 %,14 %,€ 37.300,0 %
7.105,"3.155 / 
3.950",3.866 per km²,9 %,9 %,24 %,24 %,34 %,62 %,22 %,16 %,4.025,59 %,25 %,16 %,"1,6",66 %,30 %,38 %,32 %,€ 23.600,"3,5 %"
1.905,"925 / 
980",11.448 per km²,13 %,12 %,24 %,32 %,19 %,77 %,9 %,14 %,945,39 %,26 %,34 %,"2,0",64 %,7 %,46 %,47 %,€ 15.200,"7,6 %"
12.825,"6.415 / 
6.410",9.663 per km²,21 %,16 %,31 %,20 %,11 %,30 %,10 %,60 %,5.670,43 %,20 %,37 %,"2,2",62 %,9 %,45 %,46 %,€ 15.500,"11,7 %"
9.690,"4.815 / 
4.875",7.143 per km²,13 %,11 %,40 %,26 %,9 %,51 %,15 %,34 %,5.600,60 %,18 %,22 %,"1,7",67 %,10 %,44 %,46 %,€ 15.900,"14,4 %"
10.835,"4.985 / 
5.850",12.665 per km²,12 %,10 %,49 %,20 %,9 %,69 %,18 %,13 %,6.750,60 %,23 %,17 %,"1,6",79 %,26 %,44 %,30 %,€ 21.200,"4,1 %"
,,,,,,,,,,,,,,,,,,,,,
7.805,"3.785 / 
4.020",22.164 per km²,13 %,12 %,34 %,31 %,11 %,47 %,17 %,36 %,4.640,60 %,18 %,22 %,"1,7",64 %,14 %,41 %,45 %,€ 17.000,"14,1 %"
17.750,"9.035 / 
8.715",11.717 per km²,20 %,8 %,39 %,29 %,4 %,62 %,16 %,22 %,8.775,43 %,25 %,33 %,"2,0",80 %,40 %,37 %,23 %,€ 24.800,"4,8 %"
12.165,"5.575 / 
6.590",3.378 per km²,11 %,10 %,28 %,23 %,27 %,61 %,22 %,17 %,7.270,59 %,24 %,18 %,"1,6",71 %,28 %,40 %,32 %,€ 23.200,"2,8 %"
11.920,"6.000 / 
5.920",25.329 per km²,13 %,10 %,45 %,25 %,7 %,55 %,18 %,27 %,7.450,64 %,17 %,18 %,"1,6",74 %,17 %,44 %,39 %,€ 18.000,"9,9 %"
6.975,"3.565 / 
3.410",12.587 per km²,9 %,12 %,43 %,26 %,9 %,64 %,25 %,11 %,4.620,67 %,21 %,13 %,"1,5",73 %,36 %,33 %,31 %,€ 26.300,"2,9 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
8.300,"4.195 / 
4.100",7.095 per km²,18 %,13 %,35 %,25 %,9 %,40 %,11 %,49 %,4.375,54 %,17 %,29 %,"1,9",61 %,8 %,44 %,48 %,€ 15.300,"15,7 %"
10.475,"5.195 / 
5.280",7.200 per km²,21 %,19 %,33 %,18 %,10 %,26 %,9 %,65 %,4.750,49 %,19 %,33 %,"2,2",60 %,13 %,42 %,45 %,€ 16.500,"12,8 %"
6.380,"3.085 / 
3.295",20.520 per km²,11 %,13 %,48 %,20 %,8 %,58 %,19 %,23 %,3.875,58 %,24 %,18 %,"1,6",76 %,20 %,41 %,39 %,€ 18.800,"6,2 %"
8.715,"4.235 / 
4.480",3.556 per km²,19 %,13 %,27 %,27 %,14 %,64 %,10 %,26 %,3.905,36 %,24 %,40 %,"2,2",73 %,20 %,44 %,36 %,€ 17.900,"5,5 %"
7.805,"3.785 / 
4.020",22.164 per km²,13 %,12 %,34 %,31 %,11 %,47 %,17 %,36 %,4.640,60 %,18 %,22 %,"1,7",64 %,14 %,41 %,45 %,€ 17.000,"14,1 %"
9.380,"4.660 / 
4.720",7.877 per km²,17 %,13 %,32 %,26 %,12 %,51 %,9 %,40 %,4.935,51 %,19 %,30 %,"1,9",62 %,7 %,43 %,50 %,€ 14.900,"13,4 %"
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
18.920,"9.655 / 
9.265",22.632 per km²,9 %,10 %,39 %,30 %,11 %,65 %,23 %,12 %,12.825,69 %,18 %,13 %,"1,4",72 %,26 %,37 %,37 %,€ 21.000,"6,1 %"
9.380,"4.660 / 
4.720",7.877 per km²,17 %,13 %,32 %,26 %,12 %,51 %,9 %,40 %,4.935,51 %,19 %,30 %,"1,9",62 %,7 %,43 %,50 %,€ 14.900,"13,4 %"
4.235,"2.270 / 
1.965",9.978 per km²,10 %,12 %,38 %,28 %,12 %,63 %,28 %,9 %,2.710,64 %,23 %,13 %,"1,6",72 %,41 %,27 %,32 %,€ 31.400,"1,7 %"
1.250,"585 / 
665",1.067 per km²,16 %,10 %,27 %,25 %,22 %,63 %,25 %,12 %,715,59 %,20 %,21 %,"1,8",73 %,59 %,27 %,14 %,€ 37.300,0 %
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
5.035,"2.420 / 
2.615",19.600 per km²,12 %,11 %,41 %,25 %,11 %,59 %,19 %,22 %,3.145,61 %,20 %,19 %,"1,6",72 %,21 %,39 %,40 %,€ 20.000,"7,7 %"
8.165,"3.820 / 
4.345",9.239 per km²,18 %,11 %,29 %,27 %,16 %,65 %,27 %,8 %,4.105,47 %,25 %,28 %,"2,0",71 %,55 %,23 %,22 %,€ 38.800,"0,5 %"
1.510,"745 / 
765",842 per km²,19 %,11 %,23 %,32 %,15 %,85 %,8 %,7 %,630,28 %,31 %,41 %,"2,4",78 %,23 %,48 %,29 %,€ 19.900,"1,3 %"
17.750,"9.035 / 
8.715",11.717 per km²,20 %,8 %,39 %,29 %,4 %,62 %,16 %,22 %,8.775,43 %,25 %,33 %,"2,0",80 %,40 %,37 %,23 %,€ 24.800,"4,8 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
8.715,"4.235 / 
4.480",3.556 per km²,19 %,13 %,27 %,27 %,14 %,64 %,10 %,26 %,3.905,36 %,24 %,40 %,"2,2",73 %,20 %,44 %,36 %,€ 17.900,"5,5 %"
18.920,"9.655 / 
9.265",22.632 per km²,9 %,10 %,39 %,30 %,11 %,65 %,23 %,12 %,12.825,69 %,18 %,13 %,"1,4",72 %,26 %,37 %,37 %,€ 21.000,"6,1 %"
12.510,"5.995 / 
6.515",7.553 per km²,21 %,12 %,26 %,25 %,15 %,43 %,9 %,48 %,5.675,43 %,21 %,37 %,"2,2",63 %,11 %,46 %,43 %,€ 16.400,"10,7 %"
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
9.380,"4.660 / 
4.720",7.877 per km²,17 %,13 %,32 %,26 %,12 %,51 %,9 %,40 %,4.935,51 %,19 %,30 %,"1,9",62 %,7 %,43 %,50 %,€ 14.900,"13,4 %"
8.630,"4.370 / 
4.260",15.913 per km²,12 %,10 %,38 %,32 %,9 %,63 %,22 %,15 %,5.415,62 %,20 %,18 %,"1,6",72 %,29 %,36 %,35 %,€ 21.500,"6,3 %"
8.165,"3.820 / 
4.345",9.239 per km²,18 %,11 %,29 %,27 %,16 %,65 %,27 %,8 %,4.105,47 %,25 %,28 %,"2,0",71 %,55 %,23 %,22 %,€ 38.800,"0,5 %"
10.835,"4.985 / 
5.850",12.665 per km²,12 %,10 %,49 %,20 %,9 %,69 %,18 %,13 %,6.750,60 %,23 %,17 %,"1,6",79 %,26 %,44 %,30 %,€ 21.200,"4,1 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
7.260,"3.625 / 
3.640",10.031 per km²,9 %,15 %,34 %,26 %,15 %,64 %,23 %,13 %,4.490,68 %,19 %,13 %,"1,5",66 %,28 %,34 %,38 %,€ 22.600,"5,3 %"
7.970,"3.955 / 
4.015",13.489 per km²,14 %,13 %,35 %,28 %,10 %,43 %,13 %,44 %,4.670,61 %,17 %,22 %,"1,7",64 %,14 %,39 %,47 %,€ 16.300,"13,9 %"
12.165,"5.575 / 
6.590",3.378 per km²,11 %,10 %,28 %,23 %,27 %,61 %,22 %,17 %,7.270,59 %,24 %,18 %,"1,6",71 %,28 %,40 %,32 %,€ 23.200,"2,8 %"
11.310,"5.465 / 
5.840",8.905 per km²,16 %,11 %,31 %,28 %,15 %,67 %,25 %,8 %,6.260,56 %,22 %,22 %,"1,8",72 %,48 %,25 %,27 %,€ 33.900,"1,4 %"
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
4.470,"2.610 / 
1.860",7.268 per km²,6 %,17 %,51 %,21 %,5 %,53 %,27 %,20 %,3.350,75 %,18 %,6 %,"1,3",71 %,28 %,36 %,36 %,€ 21.800,"2,3 %"
13.770,"6.985 / 
6.785",21.803 per km²,10 %,15 %,48 %,22 %,6 %,61 %,21 %,18 %,9.360,69 %,19 %,13 %,"1,5",73 %,22 %,39 %,39 %,€ 19.800,"6,1 %"
5.135,"2.635 / 
2.500",20.353 per km²,10 %,12 %,48 %,23 %,7 %,57 %,19 %,24 %,3.375,65 %,20 %,15 %,"1,5",72 %,18 %,40 %,42 %,€ 17.500,9 %
9.690,"4.815 / 
4.875",7.143 per km²,13 %,11 %,40 %,26 %,9 %,51 %,15 %,34 %,5.600,60 %,18 %,22 %,"1,7",67 %,10 %,44 %,46 %,€ 15.900,"14,4 %"
10.380,"5.020 / 
5.360",6.287 per km²,15 %,10 %,27 %,28 %,19 %,70 %,8 %,22 %,5.185,44 %,25 %,31 %,"2,0",69 %,8 %,45 %,47 %,€ 15.300,"6,7 %"
6.975,"3.565 / 
3.410",12.587 per km²,9 %,12 %,43 %,26 %,9 %,64 %,25 %,11 %,4.620,67 %,21 %,13 %,"1,5",73 %,36 %,33 %,31 %,€ 26.300,"2,9 %"
12.825,"6.415 / 
6.410",9.663 per km²,21 %,16 %,31 %,20 %,11 %,30 %,10 %,60 %,5.670,43 %,20 %,37 %,"2,2",62 %,9 %,45 %,46 %,€ 15.500,"11,7 %"
17.750,"9.035 / 
8.715",11.717 per km²,20 %,8 %,39 %,29 %,4 %,62 %,16 %,22 %,8.775,43 %,25 %,33 %,"2,0",80 %,40 %,37 %,23 %,€ 24.800,"4,8 %"
12.825,"6.415 / 
6.410",9.663 per km²,21 %,16 %,31 %,20 %,11 %,30 %,10 %,60 %,5.670,43 %,20 %,37 %,"2,2",62 %,9 %,45 %,46 %,€ 15.500,"11,7 %"
4.235,"2.270 / 
1.965",9.978 per km²,10 %,12 %,38 %,28 %,12 %,63 %,28 %,9 %,2.710,64 %,23 %,13 %,"1,6",72 %,41 %,27 %,32 %,€ 31.400,"1,7 %"
,,,,,,,,,,,,,,,,,,,,,
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
6.380,"3.085 / 
3.295",20.520 per km²,11 %,13 %,48 %,20 %,8 %,58 %,19 %,23 %,3.875,58 %,24 %,18 %,"1,6",76 %,20 %,41 %,39 %,€ 18.800,"6,2 %"
10.380,"5.020 / 
5.360",6.287 per km²,15 %,10 %,27 %,28 %,19 %,70 %,8 %,22 %,5.185,44 %,25 %,31 %,"2,0",69 %,8 %,45 %,47 %,€ 15.300,"6,7 %"
,,,,,,,,,,,,,,,,,,,,,
4.470,"2.610 / 
1.860",7.268 per km²,6 %,17 %,51 %,21 %,5 %,53 %,27 %,20 %,3.350,75 %,18 %,6 %,"1,3",71 %,28 %,36 %,36 %,€ 21.800,"2,3 %"
4.470,"2.610 / 
1.860",7.268 per km²,6 %,17 %,51 %,21 %,5 %,53 %,27 %,20 %,3.350,75 %,18 %,6 %,"1,3",71 %,28 %,36 %,36 %,€ 21.800,"2,3 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
3.915,"2.250 / 
1.665",11.176 per km²,6 %,16 %,46 %,26 %,6 %,58 %,27 %,15 %,2.805,72 %,19 %,9 %,"1,4",72 %,22 %,37 %,41 %,€ 18.900,"3,9 %"
,,,,,,,,,,,,,,,,,,,,,
4.395,"2.230 / 
2.160",20.263 per km²,10 %,11 %,45 %,25 %,9 %,65 %,21 %,14 %,2.840,64 %,21 %,15 %,"1,5",75 %,22 %,40 %,38 %,€ 19.400,"5,5 %"
12.510,"5.995 / 
6.515",7.553 per km²,21 %,12 %,26 %,25 %,15 %,43 %,9 %,48 %,5.675,43 %,21 %,37 %,"2,2",63 %,11 %,46 %,43 %,€ 16.400,"10,7 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
1.250,"585 / 
665",1.067 per km²,16 %,10 %,27 %,25 %,22 %,63 %,25 %,12 %,715,59 %,20 %,21 %,"1,8",73 %,59 %,27 %,14 %,€ 37.300,0 %
8.630,"4.370 / 
4.260",15.913 per km²,12 %,10 %,38 %,32 %,9 %,63 %,22 %,15 %,5.415,62 %,20 %,18 %,"1,6",72 %,29 %,36 %,35 %,€ 21.500,"6,3 %"
11.960,"5.595 / 
6.365",3.667 per km²,17 %,14 %,25 %,22 %,23 %,49 %,10 %,41 %,6.105,50 %,22 %,27 %,"1,9",64 %,15 %,44 %,41 %,€ 17.300,"8,1 %"
11.960,"5.595 / 
6.365",3.667 per km²,17 %,14 %,25 %,22 %,23 %,49 %,10 %,41 %,6.105,50 %,22 %,27 %,"1,9",64 %,15 %,44 %,41 %,€ 17.300,"8,1 %"
11.960,"5.595 / 
6.365",3.667 per km²,17 %,14 %,25 %,22 %,23 %,49 %,10 %,41 %,6.105,50 %,22 %,27 %,"1,9",64 %,15 %,44 %,41 %,€ 17.300,"8,1 %"
18.920,"9.655 / 
9.265",22.632 per km²,9 %,10 %,39 %,30 %,11 %,65 %,23 %,12 %,12.825,69 %,18 %,13 %,"1,4",72 %,26 %,37 %,37 %,€ 21.000,"6,1 %"
9.690,"4.815 / 
4.875",7.143 per km²,13 %,11 %,40 %,26 %,9 %,51 %,15 %,34 %,5.600,60 %,18 %,22 %,"1,7",67 %,10 %,44 %,46 %,€ 15.900,"14,4 %"
,,,,,,,,,,,,,,,,,,,,,
11.945,"5.865 / 
6.080",22.538 per km²,14 %,14 %,45 %,20 %,7 %,54 %,16 %,30 %,6.875,56 %,22 %,22 %,"1,7",71 %,16 %,43 %,41 %,€ 17.500,9 %
13.370,"6.440 / 
6.930",12.505 per km²,21 %,14 %,36 %,17 %,13 %,27 %,10 %,63 %,6.230,45 %,22 %,33 %,"2,1",63 %,9 %,45 %,46 %,€ 15.700,"12,3 %"
,,,,,,,,,,,,,,,,,,,,,
2.585,"1.220 / 
1.365",4.954 per km²,19 %,11 %,31 %,32 %,7 %,59 %,15 %,26 %,1.300,47 %,19 %,34 %,"2,0",74 %,25 %,41 %,34 %,€ 19.500,"8,6 %"
16.495,"7.920 / 
8.575",7.029 per km²,19 %,13 %,28 %,22 %,18 %,39 %,12 %,49 %,7.815,46 %,23 %,31 %,"2,1",65 %,16 %,45 %,39 %,€ 17.700,9 %
7.260,"3.625 / 
3.640",10.031 per km²,9 %,15 %,34 %,26 %,15 %,64 %,23 %,13 %,4.490,68 %,19 %,13 %,"1,5",66 %,28 %,34 %,38 %,€ 22.600,"5,3 %"
5.235,"2.600 / 
2.630",8.225 per km²,19 %,10 %,35 %,26 %,10 %,64 %,26 %,10 %,2.675,50 %,22 %,28 %,"2,0",74 %,44 %,28 %,28 %,€ 33.300,"2,5 %"
5.135,"2.635 / 
2.500",20.353 per km²,10 %,12 %,48 %,23 %,7 %,57 %,19 %,24 %,3.375,65 %,20 %,15 %,"1,5",72 %,18 %,40 %,42 %,€ 17.500,9 %
4.235,"2.270 / 
1.965",9.978 per km²,10 %,12 %,38 %,28 %,12 %,63 %,28 %,9 %,2.710,64 %,23 %,13 %,"1,6",72 %,41 %,27 %,32 %,€ 31.400,"1,7 %"
8.635,"3.975 / 
4.660",9.002 per km²,11 %,11 %,42 %,24 %,13 %,64 %,17 %,19 %,5.545,63 %,21 %,17 %,"1,6",73 %,19 %,42 %,39 %,€ 18.600,"7,6 %"
3.425,"1.585 / 
1.840",7.986 per km²,12 %,9 %,22 %,32 %,24 %,80 %,10 %,10 %,1.840,45 %,29 %,26 %,"1,9",67 %,10 %,46 %,44 %,€ 15.800,"5,7 %"
7.105,"3.155 / 
3.950",3.866 per km²,9 %,9 %,24 %,24 %,34 %,62 %,22 %,16 %,4.025,59 %,25 %,16 %,"1,6",66 %,30 %,38 %,32 %,€ 23.600,"3,5 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
8.830,"4.605 / 
4.225",12.429 per km²,9 %,12 %,35 %,33 %,10 %,64 %,24 %,12 %,5.870,67 %,18 %,15 %,"1,5",72 %,32 %,32 %,36 %,€ 22.400,"5,6 %"
5.490,"2.705 / 
2.780",17.939 per km²,13 %,13 %,45 %,21 %,8 %,44 %,14 %,42 %,3.385,63 %,20 %,18 %,"1,6",67 %,11 %,44 %,45 %,€ 16.200,"12,6 %"
6.380,"3.085 / 
3.295",20.520 per km²,11 %,13 %,48 %,20 %,8 %,58 %,19 %,23 %,3.875,58 %,24 %,18 %,"1,6",76 %,20 %,41 %,39 %,€ 18.800,"6,2 %"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4.395,"2.230 / 
2.160",20.263 per km²,10 %,11 %,45 %,25 %,9 %,65 %,21 %,14 %,2.840,64 %,21 %,15 %,"1,5",75 %,22 %,40 %,38 %,€ 19.400,"5,5 %"
12.825,"6.415 / 
6.410",9.663 per km²,21 %,16 %,31 %,20 %,11 %,30 %,10 %,60 %,5.670,43 %,20 %,37 %,"2,2",62 %,9 %,45 %,46 %,€ 15.500,"11,7 %"
10.380,"5.020 / 
5.360",6.287 per km²,15 %,10 %,27 %,28 %,19 %,70 %,8 %,22 %,5.185,44 %,25 %,31 %,"2,0",69 %,8 %,45 %,47 %,€ 15.300,"6,7 %"
11.700,"5.665 / 
6.035",22.837 per km²,9 %,12 %,46 %,22 %,10 %,60 %,18 %,22 %,7.670,67 %,19 %,14 %,"1,5",74 %,19 %,40 %,41 %,€ 18.500,"7,7 %"
,,,,,,,,,,,,,,,,,,,,,
17.750,"9.035 / 
8.715",11.717 per km²,20 %,8 %,39 %,29 %,4 %,62 %,16 %,22 %,8.775,43 %,25 %,33 %,"2,0",80 %,40 %,37 %,23 %,€ 24.800,"4,8 %"
10.835,"4.985 / 
5.850",12.665 per km²,12 %,10 %,49 %,20 %,9 %,69 %,18 %,13 %,6.750,60 %,23 %,17 %,"1,6",79 %,26 %,44 %,30 %,€ 21.200,"4,1 %"
6.380,"3.085 / 
3.295",20.520 per km²,11 %,13 %,48 %,20 %,8 %,58 %,19 %,23 %,3.875,58 %,24 %,18 %,"1,6",76 %,20 %,41 %,39 %,€ 18.800,"6,2 %"
10.475,"5.195 / 
5.280",7.200 per km²,21 %,19 %,33 %,18 %,10 %,26 %,9 %,65 %,4.750,49 %,19 %,33 %,"2,2",60 %,13 %,42 %,45 %,€ 16.500,"12,8 %"
8.635,"3.975 / 
4.660",9.002 per km²,11 %,11 %,42 %,24 %,13 %,64 %,17 %,19 %,5.545,63 %,21 %,17 %,"1,6",73 %,19 %,42 %,39 %,€ 18.600,"7,6 %"
